JournalCode|JournalLib|EcritureNum|EcritureDate|CompteNum|CompteLib|CompAuxNum|CompAuxLib|PieceRef|PieceDate|EcritureLib|Debit|Credit|EcritureLet|DateLet|ValidDate|Montantdevise|Idevise
ST|Stocks et production|ST202600018|20260107|713500|Variation des stocks de produits finis|||ST202600018|20260107|Destockage de produits finis|105,07|0,00|||20260107||
ST|Stocks et production|ST202600018|20260107|355000|Stock de cafe torrefie|||ST202600018|20260107|Stock de cafe torrefie|0,00|105,07|||20260107||
VE|Ventes|VE202600005|20260107|512000|Banque|||VE202600005|20260107|Encaissement Stripe|409,95|0,00|||20260107||
VE|Ventes|VE202600005|20260107|701000|Ventes de cafe torrefie|||VE202600005|20260107|14.1 kg de cafe torrefie|0,00|373,30|||20260107||
VE|Ventes|VE202600005|20260107|708500|Ports factures|||VE202600005|20260107|Ports factures|0,00|13,43|||20260107||
VE|Ventes|VE202600005|20260107|445710|TVA collectee|||VE202600005|20260107|TVA collectee 5,5 %|0,00|20,53|||20260107||
VE|Ventes|VE202600005|20260107|445710|TVA collectee|||VE202600005|20260107|TVA collectee 20 %|0,00|2,69|||20260107||
ST|Stocks et production|ST202600019|20260107|713500|Variation des stocks de produits finis|||ST202600019|20260107|Destockage de produits finis|132,77|0,00|||20260107||
ST|Stocks et production|ST202600019|20260107|355000|Stock de cafe torrefie|||ST202600019|20260107|Stock de cafe torrefie|0,00|132,77|||20260107||
VE|Ventes|VE202600006|20260107|411000|Clients|||FA-2026-0002|20260107|Client Boulangerie Saint-Jean, facture FA-2026-0002|4075,72|0,00|||20260107||
VE|Ventes|VE202600006|20260107|701000|Ventes de cafe torrefie|||FA-2026-0002|20260107|251 kg de cafe torrefie|0,00|3863,24|||20260107||
VE|Ventes|VE202600006|20260107|445710|TVA collectee|||FA-2026-0002|20260107|TVA collectee 5,5 %|0,00|212,48|||20260107||
ST|Stocks et production|ST202600020|20260107|713500|Variation des stocks de produits finis|||ST202600020|20260107|Destockage de produits finis|2355,58|0,00|||20260107||
ST|Stocks et production|ST202600020|20260107|355000|Stock de cafe torrefie|||ST202600020|20260107|Stock de cafe torrefie|0,00|2355,58|||20260107||
ST|Stocks et production|ST202600021|20260107|603100|Variation des stocks de cafe vert|||TOR-004|20260107|Consommation de cafe vert|1170,12|0,00|||20260107||
ST|Stocks et production|ST202600021|20260107|310000|Stock de cafe vert|||TOR-004|20260107|Stock de cafe vert|0,00|1170,12|||20260107||
ST|Stocks et production|ST202600022|20260107|603200|Variation des stocks d'emballages|||TOR-004|20260107|Consommation d'emballages|124,00|0,00|||20260107||
ST|Stocks et production|ST202600022|20260107|320000|Stock d'emballages et fournitures|||TOR-004|20260107|Stock d'emballages|0,00|124,00|||20260107||
ST|Stocks et production|ST202600023|20260107|355000|Stock de cafe torrefie|||TOR-004|20260107|Stock de cafe torrefie, brassin TOR-004|1492,82|0,00|||20260107||
ST|Stocks et production|ST202600023|20260107|713500|Variation des stocks de produits finis|||TOR-004|20260107|Production stockee|0,00|1492,82|||20260107||
AC|Achats|AC202600001|20260108|602100|Achats d'emballages et fournitures|||AC202600001|20260108|Emballages et fournitures|2166,29|0,00|||20260108||
AC|Achats|AC202600001|20260108|445660|TVA deductible|||AC202600001|20260108|TVA deductible 20 %|433,26|0,00|||20260108||
AC|Achats|AC202600001|20260108|401000|Fournisseurs|||AC202600001|20260108|Fournisseur Packstore|0,00|2599,55|||20260108||
ST|Stocks et production|ST202600024|20260108|320000|Stock d'emballages et fournitures|||ST202600024|20260108|Stock d'emballages|2166,29|0,00|||20260108||
ST|Stocks et production|ST202600024|20260108|603200|Variation des stocks d'emballages|||ST202600024|20260108|Variation des stocks d'emballages|0,00|2166,29|||20260108||
CA|Caisse|CA202600007|20260108|530000|Caisse|||CA202600007|20260108|Encaissements de la journee|529,74|0,00|||20260108||
CA|Caisse|CA202600007|20260108|701000|Ventes de cafe torrefie|||CA202600007|20260108|12.7 kg de cafe torrefie|0,00|354,89|||20260108||
CA|Caisse|CA202600007|20260108|445710|TVA collectee|||CA202600007|20260108|TVA collectee 5,5 %|0,00|19,52|||20260108||
CA|Caisse|CA202600007|20260108|706000|Prestations, bar et degustations|||CA202600007|20260108|Bar et degustations|0,00|141,21|||20260108||
CA|Caisse|CA202600007|20260108|445710|TVA collectee|||CA202600007|20260108|TVA collectee 10 %|0,00|14,12|||20260108||
ST|Stocks et production|ST202600025|20260108|713500|Variation des stocks de produits finis|||ST202600025|20260108|Destockage de produits finis|119,44|0,00|||20260108||
ST|Stocks et production|ST202600025|20260108|355000|Stock de cafe torrefie|||ST202600025|20260108|Stock de cafe torrefie|0,00|119,44|||20260108||
VE|Ventes|VE202600007|20260108|512000|Banque|||VE202600007|20260108|Encaissement Stripe|472,85|0,00|||20260108||
VE|Ventes|VE202600007|20260108|701000|Ventes de cafe torrefie|||VE202600007|20260108|16.3 kg de cafe torrefie|0,00|430,58|||20260108||
VE|Ventes|VE202600007|20260108|708500|Ports factures|||VE202600007|20260108|Ports factures|0,00|15,49|||20260108||
VE|Ventes|VE202600007|20260108|445710|TVA collectee|||VE202600007|20260108|TVA collectee 5,5 %|0,00|23,68|||20260108||
VE|Ventes|VE202600007|20260108|445710|TVA collectee|||VE202600007|20260108|TVA collectee 20 %|0,00|3,10|||20260108||
ST|Stocks et production|ST202600026|20260108|713500|Variation des stocks de produits finis|||ST202600026|20260108|Destockage de produits finis|153,15|0,00|||20260108||
ST|Stocks et production|ST202600026|20260108|355000|Stock de cafe torrefie|||ST202600026|20260108|Stock de cafe torrefie|0,00|153,15|||20260108||
VE|Ventes|VE202600008|20260108|411000|Clients|||FA-2026-0003|20260108|Client Cafe des Artisans, facture FA-2026-0003|3442,74|0,00|||20260108||
VE|Ventes|VE202600008|20260108|701000|Ventes de cafe torrefie|||FA-2026-0003|20260108|212 kg de cafe torrefie|0,00|3263,26|||20260108||
VE|Ventes|VE202600008|20260108|445710|TVA collectee|||FA-2026-0003|20260108|TVA collectee 5,5 %|0,00|179,48|||20260108||
ST|Stocks et production|ST202600027|20260108|713500|Variation des stocks de produits finis|||ST202600027|20260108|Destockage de produits finis|1989,74|0,00|||20260108||
ST|Stocks et production|ST202600027|20260108|355000|Stock de cafe torrefie|||ST202600027|20260108|Stock de cafe torrefie|0,00|1989,74|||20260108||
ST|Stocks et production|ST202600028|20260108|603100|Variation des stocks de cafe vert|||TOR-005|20260108|Consommation de cafe vert|1170,12|0,00|||20260108||
ST|Stocks et production|ST202600028|20260108|310000|Stock de cafe vert|||TOR-005|20260108|Stock de cafe vert|0,00|1170,12|||20260108||
ST|Stocks et production|ST202600029|20260108|603200|Variation des stocks d'emballages|||TOR-005|20260108|Consommation d'emballages|125,41|0,00|||20260108||
ST|Stocks et production|ST202600029|20260108|320000|Stock d'emballages et fournitures|||TOR-005|20260108|Stock d'emballages|0,00|125,41|||20260108||
ST|Stocks et production|ST202600030|20260108|355000|Stock de cafe torrefie|||TOR-005|20260108|Stock de cafe torrefie, brassin TOR-005|1509,72|0,00|||20260108||
ST|Stocks et production|ST202600030|20260108|713500|Variation des stocks de produits finis|||TOR-005|20260108|Production stockee|0,00|1509,72|||20260108||
CA|Caisse|CA202600008|20260109|530000|Caisse|||CA202600008|20260109|Encaissements de la journee|503,46|0,00|||20260109||
CA|Caisse|CA202600008|20260109|701000|Ventes de cafe torrefie|||CA202600008|20260109|12.0 kg de cafe torrefie|0,00|334,24|||20260109||
CA|Caisse|CA202600008|20260109|445710|TVA collectee|||CA202600008|20260109|TVA collectee 5,5 %|0,00|18,38|||20260109||
CA|Caisse|CA202600008|20260109|706000|Prestations, bar et degustations|||CA202600008|20260109|Bar et degustations|0,00|137,13|||20260109||
CA|Caisse|CA202600008|20260109|445710|TVA collectee|||CA202600008|20260109|TVA collectee 10 %|0,00|13,71|||20260109||
ST|Stocks et production|ST202600031|20260109|713500|Variation des stocks de produits finis|||ST202600031|20260109|Destockage de produits finis|112,49|0,00|||20260109||
ST|Stocks et production|ST202600031|20260109|355000|Stock de cafe torrefie|||ST202600031|20260109|Stock de cafe torrefie|0,00|112,49|||20260109||
VE|Ventes|VE202600009|20260109|512000|Banque|||VE202600009|20260109|Encaissement Stripe|461,25|0,00|||20260109||
VE|Ventes|VE202600009|20260109|701000|Ventes de cafe torrefie|||VE202600009|20260109|15.9 kg de cafe torrefie|0,00|420,02|||20260109||
VE|Ventes|VE202600009|20260109|708500|Ports factures|||VE202600009|20260109|Ports factures|0,00|15,11|||20260109||
VE|Ventes|VE202600009|20260109|445710|TVA collectee|||VE202600009|20260109|TVA collectee 5,5 %|0,00|23,10|||20260109||
VE|Ventes|VE202600009|20260109|445710|TVA collectee|||VE202600009|20260109|TVA collectee 20 %|0,00|3,02|||20260109||
ST|Stocks et production|ST202600032|20260109|713500|Variation des stocks de produits finis|||ST202600032|20260109|Destockage de produits finis|149,39|0,00|||20260109||
ST|Stocks et production|ST202600032|20260109|355000|Stock de cafe torrefie|||ST202600032|20260109|Stock de cafe torrefie|0,00|149,39|||20260109||
ST|Stocks et production|ST202600033|20260109|603100|Variation des stocks de cafe vert|||TOR-006|20260109|Consommation de cafe vert|1170,12|0,00|||20260109||
ST|Stocks et production|ST202600033|20260109|310000|Stock de cafe vert|||TOR-006|20260109|Stock de cafe vert|0,00|1170,12|||20260109||
ST|Stocks et production|ST202600034|20260109|603200|Variation des stocks d'emballages|||TOR-006|20260109|Consommation d'emballages|122,31|0,00|||20260109||
ST|Stocks et production|ST202600034|20260109|320000|Stock d'emballages et fournitures|||TOR-006|20260109|Stock d'emballages|0,00|122,31|||20260109||
ST|Stocks et production|ST202600035|20260109|355000|Stock de cafe torrefie|||TOR-006|20260109|Stock de cafe torrefie, brassin TOR-006|1472,45|0,00|||20260109||
ST|Stocks et production|ST202600035|20260109|713500|Variation des stocks de produits finis|||TOR-006|20260109|Production stockee|0,00|1472,45|||20260109||
BQ|Banque|BQ202600002|20260109|512000|Banque|||BQ202600002|20260109|Virements recus|19100,00|0,00|||20260109||
BQ|Banque|BQ202600002|20260109|411000|Clients|||BQ202600002|20260109|Clients, factures 2025|0,00|19100,00|||20260109||
BQ|Banque|BQ202600003|20260109|401000|Fournisseurs|||BQ202600003|20260109|Fournisseurs|11556,97|0,00|||20260109||
BQ|Banque|BQ202600003|20260109|512000|Banque|||BQ202600003|20260109|Virements emis|0,00|11556,97|||20260109||
CA|Caisse|CA202600009|20260110|530000|Caisse|||CA202600009|20260110|Encaissements de la journee|506,19|0,00|||20260110||
CA|Caisse|CA202600009|20260110|701000|Ventes de cafe torrefie|||CA202600009|20260110|12.4 kg de cafe torrefie|0,00|344,84|||20260110||
CA|Caisse|CA202600009|20260110|445710|TVA collectee|||CA202600009|20260110|TVA collectee 5,5 %|0,00|18,97|||20260110||
CA|Caisse|CA202600009|20260110|706000|Prestations, bar et degustations|||CA202600009|20260110|Bar et degustations|0,00|129,44|||20260110||
CA|Caisse|CA202600009|20260110|445710|TVA collectee|||CA202600009|20260110|TVA collectee 10 %|0,00|12,94|||20260110||
ST|Stocks et production|ST202600036|20260110|713500|Variation des stocks de produits finis|||ST202600036|20260110|Destockage de produits finis|116,06|0,00|||20260110||
ST|Stocks et production|ST202600036|20260110|355000|Stock de cafe torrefie|||ST202600036|20260110|Stock de cafe torrefie|0,00|116,06|||20260110||
CA|Caisse|CA202600010|20260112|530000|Caisse|||CA202600010|20260112|Encaissements de la journee|524,37|0,00|||20260112||
CA|Caisse|CA202600010|20260112|701000|Ventes de cafe torrefie|||CA202600010|20260112|13.0 kg de cafe torrefie|0,00|361,58|||20260112||
CA|Caisse|CA202600010|20260112|445710|TVA collectee|||CA202600010|20260112|TVA collectee 5,5 %|0,00|19,89|||20260112||
CA|Caisse|CA202600010|20260112|706000|Prestations, bar et degustations|||CA202600010|20260112|Bar et degustations|0,00|129,91|||20260112||
CA|Caisse|CA202600010|20260112|445710|TVA collectee|||CA202600010|20260112|TVA collectee 10 %|0,00|12,99|||20260112||
ST|Stocks et production|ST202600037|20260112|713500|Variation des stocks de produits finis|||ST202600037|20260112|Destockage de produits finis|121,69|0,00|||20260112||
ST|Stocks et production|ST202600037|20260112|355000|Stock de cafe torrefie|||ST202600037|20260112|Stock de cafe torrefie|0,00|121,69|||20260112||
VE|Ventes|VE202600010|20260112|512000|Banque|||VE202600010|20260112|Encaissement Stripe|458,36|0,00|||20260112||
VE|Ventes|VE202600010|20260112|701000|Ventes de cafe torrefie|||VE202600010|20260112|15.8 kg de cafe torrefie|0,00|417,38|||20260112||
VE|Ventes|VE202600010|20260112|708500|Ports factures|||VE202600010|20260112|Ports factures|0,00|15,02|||20260112||
VE|Ventes|VE202600010|20260112|445710|TVA collectee|||VE202600010|20260112|TVA collectee 5,5 %|0,00|22,96|||20260112||
VE|Ventes|VE202600010|20260112|445710|TVA collectee|||VE202600010|20260112|TVA collectee 20 %|0,00|3,00|||20260112||
ST|Stocks et production|ST202600038|20260112|713500|Variation des stocks de produits finis|||ST202600038|20260112|Destockage de produits finis|148,46|0,00|||20260112||
ST|Stocks et production|ST202600038|20260112|355000|Stock de cafe torrefie|||ST202600038|20260112|Stock de cafe torrefie|0,00|148,46|||20260112||
VE|Ventes|VE202600011|20260112|411000|Clients|||FA-2026-0004|20260112|Client Restaurant La Passerelle, facture FA-2026-0004|3603,74|0,00|||20260112||
VE|Ventes|VE202600011|20260112|701000|Ventes de cafe torrefie|||FA-2026-0004|20260112|222 kg de cafe torrefie|0,00|3415,87|||20260112||
